org_name,shared_companies,shared_big_companies,group_size,countries_worked_in_together,worked_together_time,worked_together_time_big,communication_skills,emotional_intelligence,shared_languages,shared_skills,endorsements,skill_synergy,years_studied_together,level_studied_together,shared_projects,shared_publications,prior_experience_scale,founders_with_prior_technical_experience,founders_with_prior_business_experience,founders_with_good_network,founders_with_marketing_experience,founders_with_finance_experience,founders_with_legal_experience,founders_resilient,rd_costs,set_up_costs,brand_loyalty,legal_barriers,capital_requirements,years_to_breakeven,market_saturation,companies_that_failed,prior_founding_experience,previous_big_tech_experience,institution_level,average_publications,average_education,highest_education,average_extroversion,leadership_roles,years_of_experience,years_post_grad,countries_worked_in_average,average_GPA,average_awards,success
ELERTS,,,1,,,,0,0,,,,0,,,,,4,1,0,1,0,0,0,0,5.0,5.0,6.0,5.0,6.0,3,7,5,0,0,3,0.0,2.0,Masters,4.0,1.0,30.0,13.0,1.0,3.2,1.0,0
ELS Gaming,,,1,,,,0,0,,,,0,,,,,1,0,0,0,0,0,0,0,5.0,6.0,5.0,4.0,7.0,3,5,10,0,0,4,0.0,1.0,Bachelors,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
EMPATHIQ,,,1,,,,1,1,,,,0,,,,,2,1,1,1,1,1,0,1,5.0,4.0,6.0,4.0,6.0,2,10,1,1,1,5,2.0,2.0,Bachelors,4.0,1.0,12.0,8.0,1.0,3.5,0.0,0
EMPEQ,0,0,2,0,0,0,1,0,0,0,0,0,0.0,,0,0,3,2,2,1,2,2,0,0,3.0,4.0,6.0,5.0,6.0,3,2,2,0,0,2,0.0,2.0,Masters,3.0,2.0,10.0,7.0,1.0,3.5,0.0,0
EMUZE,,,1,,,,0,0,,,,0,,,,,1,0,1,0,0,0,0,0,5.0,6.0,7.0,3.0,6.0,3,10,2,1,0,2,0.0,1.0,Bachelors,0.0,1.0,14.0,6.0,1.0,0.0,0.0,0
EMX,,,1,,,,0,0,,,,0,,,,,4,0,1,1,0,1,0,0,7.0,6.0,5.0,4.0,7.0,3,5,2,1,2,1,0.0,2.0,Bachelors,3.0,1.0,10.0,12.0,1.0,3.5,0.0,0
EPIC Neuro,0,0,2,1,0,0,0,1,0,0,0,0,0.0,,0,0,4,2,2,1,0,0,0,1,6.0,5.0,6.0,5.0,7.0,3,3,2,2,2,2,0.0,3.0,PHD,1.0,2.0,35.0,29.0,1.0,3.8,1.0,0
EPICA,2,1,2,0,0,0,2,2,3,0,0,0,0.0,,0,0,4,2,2,0,1,1,0,2,7.0,7.0,6.0,5.0,6.0,2,5,3,2,2,2,0.0,2.0,Masters,3.0,1.0,15.0,8.0,1.0,3.5,0.0,0
EPIImaging,,,1,,,,0,0,,,,0,,,,,3,1,0,0,0,0,0,0,5.0,5.0,5.0,4.0,6.0,5,10,3,0,0,1,0.0,3.0,PHD,0.0,0.0,40.0,42.0,2.0,3.8,0.0,0
EPV Sensors,0,0,2,0,0,0,0,0,0,0,0,0,0.0,,0,0,5,2,0,0,0,0,0,0,5.0,5.0,8.0,4.0,7.0,4,10,5,0,0,1,0.0,3.0,PHD,0.0,1.0,43.0,10.0,1.0,0.0,0.0,0
EQDerivatives,0,0,2,0,0,0,0,0,0,0,0,0,0.0,,0,0,3,0,2,2,0,0,0,0,5.0,5.0,5.0,5.0,5.0,3,5,5,0,0,1,0.0,2.0,Bachelors,3.0,1.0,11.0,5.0,1.0,0.0,0.0,0
ERNIT,0,0,2,1,0,0,1,1,3,0,0,0,0.0,,0,0,2,1,2,2,1,1,0,1,3.0,3.0,5.0,3.0,4.0,3,10,2,2,0,2,0.0,2.0,Masters,2.0,2.0,10.0,3.0,1.0,3.5,0.0,0
ESG Clean Energy,,,1,,,,0,0,,,,0,,,,,2,1,1,0,1,1,0,1,5.0,4.0,5.0,3.0,7.0,2,1,0,1,0,2,0.0,2.0,Bachelors,3.0,1.0,30.0,35.0,1.0,0.0,0.0,0
ESPACES OZ Fund,,,1,,,,1,0,,,,0,,,,,4,0,1,1,1,0,1,1,5.0,7.0,6.0,4.0,6.0,3,3,2,1,0,2,0.0,3.0,JD,4.0,5.0,17.75,11.0,1.0,3.0,0.0,0
ESS,1,0,2,1,0,0,0,0,0,0,0,0,4.0,Masters,0,0,5,2,1,0,0,1,0,0,3.0,4.0,5.0,2.0,4.0,2,3,2,2,2,2,0.0,2.0,PHD,0.0,2.0,10.0,0.0,1.0,0.0,0.0,1
ESSIO Shower,,,1,,,,1,0,,,,0,,,,,1,1,1,1,1,0,0,0,5.0,5.0,6.0,5.0,5.0,3,5,2,1,1,2,0.0,2.0,Masters,3.0,2.0,10.0,10.0,1.0,3.5,0.0,0
ESTHER,,,1,,,,1,0,,,,0,,,,,1,0,1,0,1,0,1,0,5.0,6.0,5.0,5.0,3.0,3,5,2,0,0,1,0.0,2.0,Masters,5.0,1.0,8.0,5.0,1.0,3.5,0.0,0
ESal,,,1,,,,0,0,,,,0,,,,,2,1,1,0,0,0,0,0,6.0,6.0,4.0,5.0,5.0,4,5,2,1,0,2,0.0,2.0,Masters,0.0,1.0,20.0,15.0,1.0,0.0,0.0,0
ETA Wireless,0,0,3,0,0,0,0,0,3,0,0,0,0.0,,0,0,5,2,0,3,0,0,0,0,9.0,8.0,7.0,6.0,8.0,3,6,0,2,1,1,0.0,3.0,PHD,0.0,1.33,12.67,6.67,3.0,0.0,0.0,0
ETALYC,,,1,,,,1,1,,,,0,,,,,3,0,1,1,1,0,0,1,5.0,6.0,5.0,4.0,6.0,3,10,2,1,0,2,0.0,3.0,PHD,4.0,1.0,8.0,4.0,1.0,3.7,0.0,0
EVELO.,,,1,,,,0,0,,,,0,,,,,2,0,1,0,1,0,0,0,4.0,5.0,6.0,5.0,7.0,2,3,1,0,0,2,6.0,2.0,Bachelors,3.0,1.0,12.0,11.0,1.0,3.5,0.0,0
EVR Foods (Lavva),,,1,,,,0,0,,,,0,,,,,3,0,1,0,0,0,0,0,5.0,6.0,7.0,4.0,6.0,3,10,2,1,0,2,0.0,1.0,Bachelors,3.0,1.0,11.0,2.0,1.0,3.5,0.0,0
EVUS,,,1,,,,0,0,,,,0,,,,,3,1,1,0,0,0,0,0,5.0,6.0,4.0,5.0,7.0,3,1,5,0,0,2,0.0,1.0,Bachelor,0.0,1.0,30.0,6.0,3.0,0.0,0.0,0
EVmatch,,,1,,,,0,0,,,,0,,,,,2,0,1,0,0,0,0,0,5.0,6.0,7.0,6.0,6.0,3,15,8,0,0,1,0.0,2.0,Master's,3.0,1.0,7.0,7.0,1.0,3.5,0.0,0
EWed Insurance,,,1,,,,0,0,,,,0,,,,,3,0,1,1,1,0,1,1,6.0,6.0,5.0,5.0,6.0,3,10,5,1,0,2,0.0,2.0,JD,0.0,1.0,25.0,4.0,1.0,0.0,0.0,0
EXPERT DOJO,,,1,,,,0,0,,,,0,,,,,1,0,0,0,0,0,0,0,5.0,5.0,7.0,6.0,5.0,3,50,30,3,0,5,0.0,1.0,Bachelors,3.0,1.0,9.0,1.0,1.0,3.5,0.0,0
EYL,,,1,,,,0,0,,,,0,,,,,2,0,0,0,0,0,0,0,5.0,6.0,7.0,4.0,5.0,3,5,2,0,0,2,0.0,2.0,Masters,0.0,1.0,12.0,26.0,1.0,0.0,0.0,0
EZ Chow,,,1,,,,0,0,,,,0,,,,,3,0,1,1,0,0,0,0,5.0,5.0,6.0,5.0,5.0,2,5,2,0,1,2,0.0,2.0,Bachelors,4.0,1.0,12.0,5.0,1.0,0.0,0.0,0
EZ Pocket Eyewear,,,1,,,,0,0,,,,0,,,,,2,0,1,0,0,1,0,0,5.0,5.0,5.0,6.0,7.0,3,5,2,1,0,2,0.0,1.0,Bachelors,3.0,1.0,22.0,41.0,1.0,3.0,0.0,0
EZ-AD TV,,,1,,,,0,0,,,,0,,,,,1,0,1,0,0,0,1,0,5.0,5.0,7.0,4.0,6.0,5,3,2,1,0,2,0.0,2.0,PHD,2.0,1.0,10.0,10.0,1.0,3.5,0.0,0
"EZ3D Technologies, Inc.",,,1,,,,0,0,,,,0,,,,,2,1,0,0,0,0,0,0,6.0,5.0,6.0,4.0,5.0,3,5,2,0,1,2,0.0,2.0,Bachelors,2.0,1.0,24.0,38.0,1.0,0.0,0.0,0
EZDOCTOR,,,1,,,,0,0,,,,0,,,,,1,0,1,0,0,0,0,0,5.0,5.0,6.0,4.0,6.0,3,5,1,0,0,2,0.0,2.0,Bachelors,0.0,1.0,12.0,11.0,1.0,0.0,0.0,0
EagleHawk,1,0,2,2,2,0,0,0,2,0,0,1,6.0,Masters,0,0,3,1,1,2,0,1,0,1,3.0,4.0,5.0,4.0,5.0,2,10,3,2,1,2,0.0,2.0,Masters,3.0,2.0,9.0,2.0,1.0,3.5,0.0,0
EarCrush,,,1,,,,0,0,,,,0,,,,,3,0,1,0,1,0,0,0,7.0,8.0,5.0,6.0,7.0,2,4,5,1,0,2,0.0,2.0,Bachelors,3.0,1.0,20.0,14.0,1.0,0.0,0.0,0
Early Detection,0,0,2,0,0,0,0,0,0,1,0,0,0.0,,0,0,5,2,1,0,0,0,0,0,8.0,7.0,7.0,6.0,8.0,3,20,5,0,0,1,0.0,3.0,PHD,2.0,2.0,20.0,13.0,1.0,3.7,0.0,0
Early Warning Labs,,,1,,,,0,0,,,,0,,,,,3,1,1,1,0,0,0,1,5.0,6.0,5.0,4.0,7.0,3,100,10,1,0,2,0.0,2.0,Bachelors,3.0,1.0,15.0,5.0,1.0,3.5,0.0,0
EarlyCell,0,0,2,0,0,0,0,0,0,0,0,0,0.0,,0,0,3,2,0,0,0,0,0,0,6.0,5.0,7.0,5.0,7.0,3,5,4,0,0,2,0.0,2.0,Ph.D.,4.0,1.0,24.0,6.0,1.0,3.5,0.0,0
"EarnWell, Inc",0,0,2,0,0,0,0,0,0,0,0,0,0.0,,0,0,3,0,2,2,0,2,0,0,5.0,7.0,6.0,6.0,7.0,3,5,2,2,0,2,0.0,2.0,Bachelors,3.0,1.0,8.0,3.0,1.0,3.5,0.0,0
Earth Species Project,,,1,,,,1,1,,,,2,,,,,4,1,1,0,0,0,0,0,5.0,5.0,6.0,3.0,5.0,3,5,7,1,3,2,0.0,2.0,Masters,3.0,1.0,10.0,3.0,1.0,3.6,1.0,0
EarthSense,0,0,2,0,0,0,0,0,3,0,0,0,0.0,,0,0,2,1,1,1,0,0,0,0,8.0,8.0,6.0,7.0,7.0,3,15,4,1,0,2,3.25,3.0,PhD,3.0,2.0,15.0,5.0,1.0,3.7,0.0,0
Earz,,,1,,,,0,0,,,,0,,,,,1,0,0,0,0,0,0,0,6.0,5.0,7.0,6.0,7.0,3,5,1,1,0,4,0.0,1.0,Bachelors,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
Ease,,,1,,,,0,0,,,,0,,,,,2,0,1,0,1,0,0,0,5.0,4.0,6.0,5.0,6.0,3,2,1,1,0,3,0.0,2.0,Masters,0.0,0.0,3.0,1.0,1.0,3.5,0.0,0
Easely,0,0,2,0,0,0,0,0,0,0,0,0,0.0,,0,0,1,0,0,0,0,0,0,0,6.0,5.0,7.0,4.0,6.0,3,5,2,0,0,3,0.0,1.0,Bachelors,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0
EasyBeeBox,0,0,3,0,0,0,1,0,2,4,0,0,1.0,Bachelors,0,0,2,1,1,0,0,0,0,0,5.0,6.0,5.0,4.0,5.0,3,10,3,0,0,2,0.0,1.67,Masters,0.0,1.0,2.0,5.0,1.0,0.0,0.0,0
EasyVirtualFair,1,0,2,1,5,0,2,1,2,9,0,2,0.0,,0,0,4,2,2,0,1,0,0,0,7.0,7.0,5.0,5.0,7.0,2,20,5,2,1,3,0.0,2.0,Masters,4.0,2.0,12.0,5.0,1.0,3.4,0.0,0
EasyVote Solutions,,,1,,,,0,0,,,,0,,,,,3,0,2,1,0,1,0,0,5.0,6.0,5.0,5.0,7.0,3,10,3,1,0,2,0.0,2.0,MBA,3.0,1.0,13.0,10.0,1.0,3.5,0.0,0
Eat Me,0,0,2,0,0,0,0,0,0,0,0,0,0.0,,0,0,1,0,0,0,0,0,0,0,5.0,5.0,6.0,4.0,6.0,3,8,2,0,0,3,0.0,1.0,Bachelors,0.0,1.0,10.0,12.0,0.0,0.0,0.0,0
Eat Offbeat,,,1,,,,0,0,,,,0,,,,,1,0,0,1,0,0,0,0,7.0,7.0,6.0,7.0,5.0,2,5,10,0,0,2,0.0,2.0,Masters,3.0,1.0,0.0,8.0,1.0,3.4,0.0,0
Eat Purely,4,0,2,1,0,0,0,0,0,0,0,0,3.0,Bachelors,0,0,3,0,2,1,3,0,0,1,7.0,5.0,6.0,5.0,7.0,3,10,0,2,2,2,1.0,1.0,Bachelors,3.0,5.0,15.0,8.0,3.0,3.5,0.0,0
EatRx,,,1,,,,0,0,,,,0,,,,,2,0,1,0,0,0,0,0,5.0,5.0,5.0,4.0,7.0,3,5,0,1,0,2,0.0,1.0,Bachelor's,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0
Ecellix,,,1,,,,0,0,,,,0,,,,,3,1,1,0,1,0,1,0,5.0,6.0,7.0,6.0,8.0,3,5,2,1,1,2,0.0,3.0,Masters,4.0,2.0,30.0,10.0,1.0,3.5,0.0,0
EchoSystem,,,1,,,,0,0,,,,0,,,,,4,0,2,0,0,0,0,0,5.0,5.0,6.0,7.0,5.0,2,3,2,1,0,2,0.0,2.0,Masters,4.0,2.0,20.0,10.0,0.0,3.5,0.0,0
Echolocation,0,0,3,0,0,0,0,0,0,0,0,0,0.0,,0,0,1,0,0,0,1,0,0,0,5.0,6.0,5.0,4.0,5.0,3,4,3,1,0,5,0.0,1.0,Bachelors,0.0,1.0,2.0,12.0,1.0,0.0,0.0,0
Echovate,,,1,,,,1,0,,,,0,,,,,4,0,1,1,1,0,0,1,5.0,7.0,5.0,4.0,5.0,3,5,2,1,0,3,4.0,2.0,Bachelors,4.0,3.0,20.0,6.0,1.0,3.5,0.0,0
Eclipse Regenesis,,,1,,,,0,0,,,,0,,,,,5,1,1,1,1,0,0,0,5.0,6.0,5.0,6.0,6.0,3,2,1,0,0,2,0.0,2.0,Masters,3.0,1.0,28.0,25.0,1.0,3.5,0.0,0
Eco Farm / Thrive Society,,,1,,,,0,0,,,,0,,,,,2,1,1,1,0,0,0,0,5.0,6.0,7.0,6.0,5.0,3,6,2,2,0,2,0.0,1.0,Bachelors,3.0,1.0,7.0,1.0,1.0,0.0,0.0,0
Eco-Shelter,,,1,,,,0,0,,,,0,,,,,2,0,1,0,0,0,0,0,5.0,5.0,4.0,3.0,6.0,3,2,1,0,0,2,0.0,1.0,Bachelors,3.0,1.0,8.0,1.0,1.0,3.5,0.0,0
EcoDomus,1,0,2,0,0,0,0,0,0,0,0,0,0.0,,0,0,3,1,1,1,0,0,0,0,7.0,6.0,5.0,4.0,6.0,3,10,5,1,0,2,0.0,2.0,Bachelors,3.0,2.0,15.0,13.0,1.0,3.5,1.0,0
EcoGroomer,,,1,,,,0,0,,,,0,,,,,3,0,1,0,0,1,0,0,5.0,7.0,6.0,5.0,6.0,2,15,4,1,0,3,0.0,2.0,Bachelors,4.0,1.0,25.0,7.0,1.0,3.5,0.0,0
EcoVapor Recovery Systems,,,1,,,,0,0,,,,0,,,,,1,1,0,0,0,0,0,0,4.0,5.0,6.0,4.0,5.0,3,2,1,1,0,2,0.0,2.0,Bachelors,3.0,1.0,42.0,12.0,1.0,0.0,0.0,0
EcoVolt Electric Company,,,1,,,,0,0,,,,0,,,,,3,0,1,1,0,1,0,0,5.0,6.0,5.0,4.0,6.0,3,7,1,1,1,1,0.0,2.0,Masters,4.0,2.0,30.0,5.0,1.0,3.5,0.0,0
EdConnective,0,0,2,0,0,0,0,0,0,0,0,0,0.0,,0,0,1,0,2,0,0,2,0,0,5.0,7.0,6.0,5.0,7.0,3,10,5,1,0,1,0.0,2.0,Masters,0.0,1.0,8.0,8.0,1.0,0.0,0.0,0
EdPuzzle,0,0,4,0,0,0,3,3,3,0,0,0,0.0,,0,0,2,3,1,0,0,0,0,0,6.0,6.0,8.0,5.0,6.0,3,100,10,2,1,2,0.0,2.0,Masters,4.0,2.0,9.0,9.0,2.0,3.4,0.0,0
Edamam,,,1,,,,0,0,,,,0,,,,,5,1,1,1,1,1,0,0,7.0,6.0,8.0,5.0,7.0,2,5,3,1,0,1,0.0,2.0,MBA,3.0,1.0,10.0,2.0,1.0,3.5,0.0,0
Eden Concepts,,,1,,,,1,1,,,,0,,,,,3,1,1,1,0,0,0,1,5.0,6.0,7.0,4.0,5.0,3,10,5,1,1,2,1.0,2.0,Masters,3.0,1.0,30.0,38.0,1.0,3.5,0.0,0
Edenesque,,,1,,,,1,1,,,,0,,,,,2,0,1,1,1,0,0,1,4.0,5.0,6.0,3.0,5.0,2,5,1,1,0,2,1.0,2.0,Masters,2.0,2.0,20.0,9.0,1.0,3.5,0.0,0
Edge,,,1,,,,1,0,,,,0,,,,,3,1,1,0,0,0,0,1,7.0,6.0,5.0,7.0,8.0,2,50,5,0,1,2,0.0,2.0,Bachelors,3.0,1.0,16.0,26.0,1.0,3.4,0.0,0
Edge At 706,,,1,,,,0,0,,,,0,,,,,3,1,1,1,0,0,0,0,5.0,6.0,7.0,5.0,6.0,3,3,10,1,0,3,0.0,1.0,Bachelors,4.0,1.0,25.0,12.0,1.0,3.0,0.0,0
Edge Music Network,,,1,,,,0,0,,,,0,,,,,1,1,0,1,0,0,0,0,5.0,5.0,7.0,4.0,5.0,3,4,1,1,0,4,0.0,2.0,Masters,2.0,1.0,10.0,10.0,1.0,3.5,0.0,0
Edge Systems Technologies,,,1,,,,0,0,,,,0,,,,,2,1,0,0,0,1,0,1,5.0,5.0,7.0,4.0,6.0,3,5,3,1,0,2,0.0,2.0,Bachelors,3.0,1.0,10.0,12.0,1.0,3.5,0.0,0
Edge2Web,0,0,2,0,0,0,0,0,0,0,0,0,0.0,,0,0,1,0,1,0,1,0,0,0,5.0,5.0,6.0,5.0,5.0,3,3,2,1,0,2,0.0,2.0,Masters,0.0,1.0,5.0,7.0,0.0,0.0,0.0,0
Edgewise Therapeutics,,,1,,,,0,0,,,,0,,,,,5,1,0,1,0,0,0,0,7.0,7.0,8.0,5.0,8.0,2,1,2,1,1,1,0.0,2.0,PHD,5.0,2.0,21.0,6.0,1.0,3.6,0.0,1
"EdgeworthBox, Inc.",,,1,,,,1,0,,,,0,,,,,2,1,1,0,0,1,0,0,5.0,5.0,6.0,4.0,7.0,3,2,1,0,0,1,0.0,2.0,MBA,4.0,1.0,6.0,22.0,1.0,0.0,0.0,0
Edify,,,1,,,,0,0,,,,0,,,,,2,0,1,0,1,0,0,0,4.0,7.0,6.0,5.0,3.0,2,3,0,1,0,2,0.0,1.0,Bachelor,4.0,1.0,10.0,0.0,1.0,3.5,0.0,0
Editorialist,,,1,,,,0,0,,,,0,,,,,2,1,1,0,0,0,0,0,5.0,5.0,7.0,6.0,8.0,4,10,1,0,1,1,0.0,2.0,MBA,4.0,1.0,20.0,12.0,1.0,3.5,0.0,0
EduSourced,0,0,2,1,0,0,0,0,0,0,0,0,0.0,,0,0,2,2,1,0,0,0,0,0,5.0,4.0,7.0,5.0,8.0,3,3,2,1,0,2,0.0,2.0,Bachelors,3.0,2.0,10.0,9.0,1.0,0.0,0.0,0
Education Modified,0,0,2,0,0,0,0,0,0,0,0,0,0.0,,0,0,3,0,1,0,0,0,0,0,5.0,5.0,5.0,3.0,6.0,3,10,5,0,0,2,0.0,2.0,Masters,3.0,1.0,19.0,9.0,1.0,3.5,0.0,0
Educreations,1,0,2,0,0,0,0,0,0,0,0,0,0.0,,0,0,2,2,1,0,0,0,0,0,6.0,5.0,7.0,5.0,6.0,2,5,7,1,1,2,0.0,2.0,Bachelors,2.5,1.0,5.0,13.0,1.0,3.4,0.0,0
Edunoor,,,1,,,,1,0,,,,0,,,,,2,0,1,1,0,0,0,0,6.0,5.0,7.0,4.0,5.0,3,2,5,1,0,2,0.0,2.5,Masters,4.0,1.0,10.0,8.0,1.0,3.5,0.0,0
Eduson,,,1,,,,1,1,,,,1,,,,,4,1,1,1,0,0,0,1,5.0,6.0,7.0,5.0,5.0,3,10,2,2,1,2,0.0,2.0,Masters,4.0,3.0,10.0,10.0,1.0,3.6,0.0,0
Edyza,1,0,2,1,0,0,0,0,4,0,0,0,0.0,,0,0,5,1,0,1,0,0,0,0,5.0,5.0,5.0,3.0,5.0,3,1,1,1,1,2,0.0,2.0,PHD,0.0,1.0,13.0,11.0,1.5,0.0,0.0,0
Efficiency Exchange,1,0,2,0,0,0,1,0,1,0,0,1,0.0,,0,0,4,1,1,0,0,0,0,0,4.0,5.0,4.0,3.0,6.0,3,5,2,1,1,2,0.0,2.0,Bachelors,3.0,0.0,6.0,8.0,1.0,0.0,0.0,0
EhmetDX,,,1,,,,0,0,,,,0,,,,,2,1,0,1,0,0,0,0,6.0,6.0,5.0,5.0,7.0,3,5,2,0,0,2,0.0,3.0,PHD,0.0,2.0,43.0,8.0,1.0,0.0,0.0,0
Eikon Therapeutics,,,1,,,,0,0,,,,0,,,,,1,0,0,0,0,0,0,0,7.0,8.0,6.0,5.0,9.0,3,4,2,1,0,2,0.0,2.0,PHD,3.0,1.0,12.0,8.0,1.0,0.0,0.0,1
Einhorn's Epic Productions,,,1,,,,0,0,,,,0,,,,,2,1,1,1,1,0,0,0,6.0,5.0,8.0,4.0,7.0,2,5,2,0,0,2,0.0,2.0,Bachelors,3.0,1.0,10.0,6.0,1.0,3.5,0.0,0
Einsite,,,1,,,,0,0,,,,0,,,,,1,0,1,0,0,1,0,0,5.0,6.0,7.0,6.0,5.0,3,10,5,1,0,1,0.0,2.0,Masters,0.0,1.0,9.0,4.0,1.0,3.6,0.0,0
Einstein's Workshop,,,1,,,,0,0,,,,0,,,,,1,1,0,1,0,0,1,1,5.0,4.0,7.0,6.0,5.0,3,8,2,1,0,1,0.0,3.0,PHD,4.0,2.0,25.0,25.0,1.0,4.0,0.0,0
Ejenta,0,0,2,1,0,0,1,1,0,0,0,0,5.5,PhD,0,0,5,2,2,2,0,0,0,2,8.0,7.0,6.0,8.0,7.0,3,5,2,1,1,1,3.5,3.0,PhD,4.0,1.0,22.5,10.5,1.0,3.5,1.0,0
Ekotrope,0,0,2,3,0,0,1,1,2,0,0,0,0.0,,0,0,4,2,1,0,0,0,0,0,6.0,5.0,8.0,5.0,7.0,3,5,0,1,1,1,0.0,2.0,Masters,3.0,1.5,12.0,2.0,1.5,3.6,0.0,0
El Camino Travel,,,1,,,,0,0,,,,0,,,,,1,0,1,1,0,0,0,0,5.0,5.0,5.0,4.0,6.0,3,8,1,0,0,2,0.0,2.0,Masters,4.0,1.0,6.0,6.0,1.0,3.5,0.0,0
El Capitan Advisors,,,1,,,,0,0,,,,0,,,,,3,0,1,1,0,1,0,0,4.0,6.0,6.0,5.0,5.0,2,5,3,0,0,2,0.0,2.0,Bachelors,3.0,2.0,16.0,6.0,1.0,3.5,0.0,0
El Guapo Bitters,,,1,,,,1,0,,,,0,,,,,2,0,1,1,1,0,0,0,5.0,6.0,7.0,4.0,6.0,3,5,4,0,0,2,0.0,1.0,Bachelors,4.0,2.0,9.0,6.0,1.0,3.5,0.0,0
El Loco,,,1,,,,0,0,,,,0,,,,,5,1,1,0,0,0,0,0,5.0,6.0,7.0,4.0,6.0,3,7,5,1,1,2,0.0,1.0,Bachelors,0.0,1.0,28.0,3.0,1.0,0.0,0.0,0
Elarm,0,0,4,0,0,0,1,0,0,0,0,0,0.0,,0,0,2,1,1,1,0,0,0,1,5.0,7.0,6.0,4.0,6.0,2,5,10,0,1,2,0.0,2.0,Masters,3.0,1.0,20.0,6.0,1.0,3.5,0.0,0
Elastic,3,1,4,1,4,0,2,2,2,8,0,2,1.5,Bachelors,1,17,5,4,3,4,0,0,0,3,6.0,6.0,8.0,4.0,8.0,5,20,3,4,2,2,3.0,2.0,Masters,2.5,4.0,5.0,10.0,2.5,3.5,1.0,1
Elation,,,1,,,,0,0,,,,0,,,,,1,0,1,0,0,0,0,0,5.0,6.0,4.0,7.0,7.0,3,5,1,0,0,2,0.0,2.0,Masters,0.0,0.0,10.0,8.0,1.0,0.0,0.0,0
Elation Media,,,1,,,,0,0,,,,0,,,,,3,0,1,0,0,0,0,0,5.0,4.0,7.0,5.0,6.0,3,5,2,1,0,3,0.0,2.0,Bachelors,3.0,3.0,16.0,10.0,1.0,3.0,0.0,0
Electric Hydrogen,1,1,2,0,0,0,0,0,1,0,0,1,0.0,,0,0,4,2,2,0,0,1,0,0,4.0,4.0,6.0,3.0,6.0,3,5,2,2,2,1,1.0,2.0,PHD,0.0,2.0,15.0,10.0,2.0,3.6,1.0,1
ElectroSpit’s,1,0,2,2,7,0,1,1,0,0,0,2,3.5,Masters,0,0,4,2,2,2,2,0,1,2,6.0,6.0,5.0,6.0,7.0,3,7,15,2,2,2,3.0,2.5,Masters,4.0,1.5,15.0,6.0,1.0,3.7,1.0,0
Electronic Gaming Federation,,,1,,,,0,0,,,,0,,,,,2,0,1,1,0,1,0,0,5.0,5.0,3.0,2.0,5.0,3,10,5,0,0,2,0.0,2.0,Masters,3.0,1.0,5.0,8.0,1.0,3.5,0.0,0
Element Exo,0,0,3,1,0,0,0,0,0,0,0,0,1.0,Masters,0,0,4,2,2,0,1,2,0,0,7.0,5.0,6.0,7.0,8.0,3,5,4,2,3,2,0.0,2.0,PHD,3.0,1.0,11.0,2.0,1.0,3.0,0.0,0
Elemental Coatings,0,0,2,1,0,0,0,0,0,0,0,0,0.0,,0,0,3,2,0,1,0,0,0,0,7.0,8.0,6.0,5.0,8.0,3,5,1,1,1,1,0.0,3.0,PHD,3.0,1.0,8.5,2.0,1.0,3.2,0.0,0
Elemental Enzymes,,,1,,,,0,0,,,,0,,,,,1,1,0,0,0,0,0,0,5.0,6.0,4.0,6.0,7.0,4,5,3,0,0,2,0.0,3.0,PHD,0.0,1.0,12.0,12.0,1.0,0.0,0.0,0
Elements Brands,,,1,,,,0,0,,,,0,,,,,3,0,1,0,0,1,0,0,6.0,5.0,7.0,4.0,5.0,2,3,1,1,0,2,0.0,2.0,Bachelors,3.0,3.0,4.0,2.0,0.0,3.5,0.0,0
Elephant.is,,,1,,,,0,1,,,,0,,,,,4,0,1,1,0,0,0,1,4.0,3.0,7.0,4.0,5.0,3,2,1,1,0,2,0.0,2.0,Masters,4.0,2.0,15.0,5.0,1.0,3.5,1.0,0
ElevateBio,2,0,3,0,0,0,0,0,0,0,0,0,0.0,,0,0,5,3,3,3,2,0,0,2,7.0,6.0,8.0,5.0,6.0,3,5,1,2,0,3,0.0,2.0,Masters,3.0,1.0,30.0,7.0,2.0,0.0,2.0,1
Elevation Charcuterie and Artisan Meats,,,1,,,,0,0,,,,0,,,,,1,0,0,0,0,0,0,0,7.0,6.0,5.0,4.0,6.0,3,3,2,0,0,5,0.0,1.0,Bachelors,2.0,1.0,10.0,10.0,1.0,3.0,0.0,0
Eleven Fifty Academy,1,0,2,1,0,0,0,0,0,0,0,0,0.0,,0,0,3,1,1,1,0,0,0,0,5.0,3.0,6.0,5.0,7.0,2,5,2,1,4,2,0.0,3.0,Doctoral (PHD),0.0,2.0,35.0,7.0,2.0,0.0,0.0,0
Eleven P15,,,1,,,,0,0,,,,0,,,,,5,1,0,0,0,0,0,0,5.0,5.0,5.0,4.0,5.0,3,10,1,1,0,1,0.0,2.0,PHD,0.0,2.0,20.0,7.0,1.0,0.0,0.0,0
Eli Nutrition,,,1,,,,0,0,,,,0,,,,,2,0,1,1,1,1,0,1,7.0,6.0,5.0,6.0,6.0,2,5,3,0,0,1,0.0,2.0,MBA,4.0,1.0,8.0,8.0,1.0,3.8,0.0,0
